StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q72,Q73,Q100,Q74,Q35_1,Q36_1,Q68_1,Q81,Q69_1,Q31_1,Q32_1,Q64_1,Q98,Q65_1,Q27_1,Q28_1,Q53_1,Q97,Q54_1,Q23_1,Q24_1,Q49_1,Q96,Q50_1,Q16_1,Q17_1,Q60_1,Q95,Q61_1,Q11_1,Q12_1,Q45_1,Q94,Q46_1,Q7_1,Q8_1,Q41_1,Q93,Q42_1,Q3_1,Q4_1,Q37_1,Q92,Q38_1,Q70_1,Q91,Q71_1,Q33_1,Q34_1,Q66_1,Q90,Q67_1,Q29_1,Q30_1,Q57_1,Q89,Q58_1,Q25_1,Q26_1,Q51_1,Q88,Q52_1,Q21_1,Q22_1,Q62_1,Q87,Q63_1,Q14_1,Q15_1,Q55_1,Q86,Q56_1,Q9_1,Q10_1,Q43_1,Q85,Q44_1,Q5_1,Q6_1,Q39_1,Q84,Q40_1,Q1_1,Q2_1,Q75,Q101
2025-11-20 15:33:34,2025-11-20 15:44:38,IP Address,213.122.212.16,100,664,True,2025-11-20 15:44:38,R_8RNZQwLGywY3QDb,,,,,53.8151,-3.0603,anonymous,EN,I accept,English,604d5e61486bd0622d2102c0,Continue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Favorable,"Because Blair asked for more information on the laptop, so Angela decided to share more.",Very favorable,Favorable,Favorable,Favorable,"Because Brittany wanted to know the gossip, so Abby was so excited, she wanted to spill everything.",Very favorable,Favorable,Favorable,Favorable,So she could back up her reasonings on why she chose Sarah.,Very favorable,Somewhat favorable,Somewhat favorable,Favorable,Because Bill was curious and wanted to know more about Adam's decision. ,Favorable,Favorable,Favorable,Favorable,Perhaps to influence Bianca on this new takeaway place.,Very favorable,Neither unfavorable nor favorable,Neither unfavorable nor favorable,Favorable,Because Bridget asked about her weekend.,Favorable,Very favorable,Very favorable,Very favorable,Because Beatrice specifically asked about Emily so Anna felt it was appropriate to go into detail.,Very favorable,Unfavorable,Very unfavorable,Favorable,I think she wanted to back up her decision and show Beth how passionate she is.,Very favorable,Favorable,Very favorable,To see how people would view these text messages and see if I could figure out the meaning perhaps. I thought the task was fun and interesting.,Done
2025-11-20 15:36:22,2025-11-20 15:45:26,IP Address,86.149.183.8,100,544,True,2025-11-20 15:45:27,R_2zSECOYiAZakFHz,,,,,51.5164,-0.093,anonymous,EN,I accept,English,66b73f9ba035651170b94c76,Continue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Favorable,to show why this choice was better for her,Favorable,Unfavorable,Neither unfavorable nor favorable,Very favorable,she was excited about Ben,Favorable,Favorable,Neither unfavorable nor favorable,Favorable,to say why they made that decision,Favorable,Neither unfavorable nor favorable,Neither unfavorable nor favorable,Very favorable,excitement about his new place,Very favorable,Favorable,Favorable,Neither unfavorable nor favorable,justifying why they got takeout,Neither unfavorable nor favorable,Neither unfavorable nor favorable,Neither unfavorable nor favorable,Favorable,excitement about the dress she found,Favorable,Favorable,Neither unfavorable nor favorable,Favorable,to say why she was helping and not letting her do it herself,Favorable,Unfavorable,Unfavorable,Favorable,maybe to promote the cause,Favorable,Favorable,Favorable,interpretations of texts,
2025-11-20 15:35:54,2025-11-20 15:45:32,IP Address,208.58.44.197,100,577,True,2025-11-20 15:45:33,R_7DI2ncToFnhueyL,,,,,40.6657,-75.3364,anonymous,EN,I accept,English,5ca25f7048f78e0018fdac10,Continue,Favorable,Somewhat favorable,Favorable,He was explaining to Brady the reason for moving away once Brady asked where he was going,Somewhat favorable,Favorable,Very favorable,Somewhat unfavorable,It seemed like she was trying to justify why she was taking off for such a long period of time,Somewhat favorable,Favorable,Favorable,Unfavorable,He was trying to justify why he got such a stupid pet,Unfavorable,Favorable,Favorable,Favorable,Bruce asked about the job decision so Ari gave him the decision and the reasoning behind it,Favorable,Neither unfavorable nor favorable,Somewhat favorable,Somewhat unfavorable,Seemed like he was trying to provide a reason for why he didn't have any plans and wasn't going to do anything over the weekend.,Neither unfavorable nor favorable,Neither unfavorable nor favorable,Neither unfavorable nor favorable,Somewhat favorable,It sounds like she just likes to talk a lot and overshare about herself,Favorable,Neither unfavorable nor favorable,Somewhat favorable,Favorable,He was explaining the reasons why it was important to clean the kitchen,Somewhat favorable,Somewhat favorable,Very favorable,Somewhat unfavorable,It sounded like Bill wanted to hang our or something so Andrew was explaining why he was unable to,Favorable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,To see what we thought the intention behind the texts were,Done
2025-11-20 15:38:45,2025-11-20 15:48:06,IP Address,73.19.223.27,100,561,True,2025-11-20 15:48:06,R_7HdAeAeCJlinGsp,,,,,36.0014,-83.9125,anonymous,EN,I accept,English,662943e28130e7eb5f034326,Continue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Favorable,She wanted to express why the new laptop was a good purchase ,Favorable,Neither unfavorable nor favorable,Neither unfavorable nor favorable,Favorable,She was just filling in her friend ,Favorable,Favorable,Favorable,Favorable,Perhaps to explain why someone else was not as good a fit or hire.,Neither unfavorable nor favorable,Somewhat favorable,Neither unfavorable nor favorable,Favorable,He seemed excited.,Very favorable,Favorable,Favorable,Favorable,He felt the need to explain buying take out. Perhaps a fear of financial judgement. ,Favorable,Neither unfavorable nor favorable,Neither unfavorable nor favorable,Somewhat favorable,She may feel like spending money on a new dress was unnecessary ,Neither unfavorable nor favorable,Favorable,Favorable,Somewhat unfavorable,She felt she would be judged or she feels Emily will be judged ,Favorable,Somewhat unfavorable,Somewhat unfavorable,Favorable,Perhaps she had a lot of options and wanted to justify picking one. ,Neither unfavorable nor favorable,Neither unfavorable nor favorable,Neither unfavorable nor favorable,Perhaps reading into the emotions behind texts.,Done
2025-11-20 15:35:53,2025-11-20 15:48:57,IP Address,69.131.68.170,100,783,True,2025-11-20 15:48:57,R_1eqaMtUCeefiY5L,,,,,30.8,-81.6898,anonymous,EN,I accept,English,5658d6d67d69570012dfe258,Continue,Favorable,Favorable,Unfavorable,"He feels guilty leaving Brady behind, or he's not sure of his decision and he wants to convince everyone he is so he saves face.",Somewhat favorable,Favorable,Favorable,Unfavorable,"Brooke must be her superior at work if she has access to her work calendar, so she's trying to give good reasons why she took PTO so she won't be looked on unfavorably by her supervisor.",Somewhat unfavorable,Favorable,Neither unfavorable nor favorable,Unfavorable,"Some people are afraid of or grossed out by rats, so Alex felt he had to explain his decision to try to convince Brian that rats are cool so Brian won't also be freaked out and not want to be around the rat.",Neither unfavorable nor favorable,Favorable,Favorable,Very favorable,He's just telling his friend all the good things about his new job because he's excited.,Very favorable,Very favorable,Very favorable,Unfavorable,"He felt the need to give so many excuses because he thought Blake was going to ask him to do something. Maybe Blake would ask Alan to go do something fun, or maybe Blake has a habit of asking if someone is doing anything and then asks them a favor.",Somewhat unfavorable,Very favorable,Favorable,Favorable,She's trying to convince herself and not Bailey that it's a good idea to visit her aunt. She doesn't really want to go but she feels obligated.,Favorable,Very favorable,Very favorable,Somewhat favorable,"He wanted to give reasons why he did what Luke was supposed to do so that Ben wouldn't think Anthony was inferior to Luke, or subordinate.",Somewhat unfavorable,Favorable,Favorable,Favorable,"I really don't know. Bill's text sounds to me like he doesn't want Andrew to be home, so maybe Andrew is overexplaining himself because he wants to save face, to make it seems like it's his decision not to be home.",Very favorable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"I just thought you were studying how people interpret information that has text-only context, because a lot of people feel misunderstood through text.",Done
2025-11-20 15:37:54,2025-11-20 15:49:56,IP Address,76.217.31.234,100,721,True,2025-11-20 15:49:56,R_5rGzEYAl0n1U5Tv,,,,,33.9075,-117.7866,anonymous,EN,I accept,English,5c40134b1580e900012320ab,Continue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Neither unfavorable nor favorable,Because Blair asked for more information on the decision.,Favorable,Neither unfavorable nor favorable,Somewhat unfavorable,Neither unfavorable nor favorable,Because Brittany asked for more details,Favorable,Very favorable,Favorable,Favorable,Because she was excited about the new hire and wanted to explain why they hired that person.,Very favorable,Neither unfavorable nor favorable,Somewhat unfavorable,Favorable,Because Bill asked and Adam probably wanted to explain why he chose that place.,Very favorable,Favorable,Somewhat favorable,Neither unfavorable nor favorable,He felt he needed to explain more why he was getting take out instead of cooking at home.,Neither unfavorable nor favorable,Neither unfavorable nor favorable,Somewhat unfavorable,Favorable,Because she wanted to expand on her weekend and not just give a small answer.,Favorable,Neither unfavorable nor favorable,Somewhat favorable,Somewhat favorable,Because Anna wanted to give Beatrice a more in depth explanation.,Favorable,Somewhat unfavorable,Somewhat favorable,Somewhat favorable,To show Beth that she is donating and being a good person.,Somewhat favorable,Neither unfavorable nor favorable,Somewhat unfavorable,"To see how people interpret people's responses to text messages. I did understand the task and have no further questions, thank you!",Done
2025-11-20 15:39:03,2025-11-20 15:51:26,IP Address,213.78.172.4,100,742,True,2025-11-20 15:51:26,R_2JLUA13NYSNAU1r,,,,,50.2027,-5.3037,anonymous,EN,I accept,English,5d542c3a5af5900019bc80c4,Continue,Favorable,Favorable,Somewhat unfavorable,to justify why he's leaving friends behind,Somewhat favorable,Somewhat favorable,Somewhat favorable,Somewhat unfavorable,To justify why she is taking so much leave in one go,Somewhat favorable,Favorable,Favorable,Somewhat unfavorable,to educate him on how rats are good pets,Somewhat favorable,Favorable,Favorable,Somewhat unfavorable,To justify her decision as it may not have been the one Bruce wanted her to take,Somewhat favorable,Favorable,Somewhat favorable,Unfavorable,because Blake was going to nag him into going out so he pre-emptively made excuses,Somewhat unfavorable,Favorable,Favorable,Somewhat unfavorable,because Bailey doesn't like her aunt or disapproves of her being in contact,Somewhat unfavorable,Favorable,Favorable,Very unfavorable,Because Ben will be annoyed that he cleaned the kitchen rather than leaving it for Luke,Unfavorable,Favorable,Favorable,Neither unfavorable nor favorable,"he's worried he will seem like a nerd
",Favorable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,how people anticipate others reactions to news,Done
2025-11-20 15:38:14,2025-11-20 15:51:48,IP Address,109.180.74.91,100,813,True,2025-11-20 15:51:48,R_2TnGOE0Lg2zx0Aj,,,,,52.283,-0.8462,anonymous,EN,I accept,English,5cedaba627d8ce00018469bb,Continue,Favorable,Favorable,Somewhat favorable,because he has a relationship where the other person is interested,Somewhat favorable,Favorable,Neither unfavorable nor favorable,Favorable,because her friend asked her to explain,Favorable,Neither unfavorable nor favorable,Neither unfavorable nor favorable,Favorable,because people might think a rat is a strange choice of pet.,Neither unfavorable nor favorable,Very favorable,Somewhat favorable,Unfavorable,to make it sound like a good decision to bruce,Neither unfavorable nor favorable,Favorable,Somewhat favorable,Somewhat unfavorable,Alan feels socially pressured to have fun at the weekend so he justifies why he isn't.,Neither unfavorable nor favorable,Favorable,Favorable,Somewhat favorable,she doesn't really want to go nd is persuading herself why she should.,Somewhat unfavorable,Favorable,Favorable,Unfavorable,to justify why he did something the other will not approve of.,Unfavorable,Favorable,Neither unfavorable nor favorable,Somewhat unfavorable,He wanted to feel better about why he was studying hard.,Neither unfavorable nor favorable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,maybe about people pleasing and pressure,Done
2025-11-20 15:39:15,2025-11-20 15:52:31,IP Address,77.76.79.255,100,796,True,2025-11-20 15:52:32,R_2gsxwAwWCqKSSKB,,,,,52.5964,-2.1841,anonymous,EN,I accept,English,5eeb2b8a36774c27657f227c,Continue,Strongly favorable,Very favorable,Somewhat unfavorable,To justify the decision to move to Minneapolis.,Favorable,Very favorable,Favorable,Very favorable,She was excited about her plans and wanted to share them with her friend.,Very favorable,Neither unfavorable nor favorable,Favorable,Unfavorable,Alex is aware that many people have a negative view of rats.,Favorable,Favorable,Favorable,Very favorable,Ari was excited about their new job and wanted to share this with Bruce.,Very favorable,Neither unfavorable nor favorable,Neither unfavorable nor favorable,Unfavorable,Alan expected Blake to judge him as he is not doing anything or going anywhere.,Neither unfavorable nor favorable,Favorable,Favorable,Neither unfavorable nor favorable,Allison was merely voicing her concerns for her aunt and then got excited about her aunts cooking.,Favorable,Very favorable,Very favorable,Unfavorable,"Anthony did not want Ben to think that he is a doormat, or that Luke is not pulling his weight.",Somewhat favorable,Favorable,Favorable,Neither unfavorable nor favorable,Andrew was afraid he might come across as boring.,Favorable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Recognising context in non-spoken communications?,Done
2025-11-20 15:39:49,2025-11-20 15:53:11,IP Address,173.56.111.96,100,802,True,2025-11-20 15:53:11,R_3mdOSO69p483igh,,,,,40.7428,-73.9712,anonymous,EN,I accept,English,66ccdd9f6b12c6ea6fa01f42,Continue,Somewhat favorable,Neither unfavorable nor favorable,Neither unfavorable nor favorable,Wanted to clarify the reasoning for the move,Somewhat favorable,Unfavorable,Favorable,Somewhat unfavorable,Adriana wanted to avoid anyone questioning the PTO she took,Somewhat favorable,Neither unfavorable nor favorable,Very favorable,Somewhat favorable,To be crystal clear what their intentions were because a rat can be quite odd to get,Very unfavorable,Favorable,Very favorable,Favorable,Ari felt comforted and wanted to tell Bruce the details of the accomplishment,Very favorable,Somewhat unfavorable,Favorable,Neither unfavorable nor favorable,Alan went through a lot and didn't want to come off as rejecting Blake,Somewhat favorable,Neither unfavorable nor favorable,Somewhat favorable,Favorable,She wanted someone to rant to and sympathize with her,Neither unfavorable nor favorable,Neither unfavorable nor favorable,Neither unfavorable nor favorable,Unfavorable,Anthony wanted to be clear with Ben how they take good care of the house,Favorable,Very favorable,Very favorable,Somewhat unfavorable,Andrew wanted to be direct on where they are so he isn't questioned,Neither unfavorable nor favorable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Understanding situations and why they responded in the way they did,Done
2025-11-20 15:37:46,2025-11-20 15:53:42,IP Address,81.99.119.64,100,955,True,2025-11-20 15:53:42,R_2bVqrsgE9ZApn1u,,,,,51.6141,-0.3362,anonymous,EN,I accept,English,59cff8eed227970001199862,Continue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Favorable,Because Blair was interested.,Favorable,Neither unfavorable nor favorable,Neither unfavorable nor favorable,Somewhat favorable,Because Brittany wanted more information ,Favorable,Favorable,Neither unfavorable nor favorable,Unfavorable,Because Bonnie seemed further information.,Neither unfavorable nor favorable,Favorable,Unfavorable,Neither unfavorable nor favorable,Because Bill wanted to know more.,Somewhat favorable,Very favorable,Favorable,Neither unfavorable nor favorable,So Bianca could use the kitchen.,Favorable,Neither unfavorable nor favorable,Unfavorable,Somewhat favorable,She wanted to impress Bridget.,Somewhat favorable,Somewhat favorable,Unfavorable,Somewhat favorable,Because Beatrice was being thoughtful in asking about Emily,Very favorable,Somewhat favorable,Unfavorable,Favorable,Because she wanted to highlight her good deed.,Neither unfavorable nor favorable,Neither unfavorable nor favorable,Somewhat favorable,Interpreting text message conversations.,Done
2025-11-20 15:46:02,2025-11-20 15:54:06,IP Address,90.247.195.87,100,483,True,2025-11-20 15:54:06,R_86C1JSLRNiFBgL7,,,,,52.0494,-0.7919,anonymous,EN,I accept,English,5e3068330082f106875fb3f2,Continue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Neither unfavorable nor favorable,"Wanted to share that they got a new laptop and the reasons why, they expressed humour about the battery life for example. ",Somewhat favorable,Neither unfavorable nor favorable,Neither unfavorable nor favorable,Favorable,Sharing good news with her friend,Favorable,Neither unfavorable nor favorable,Neither unfavorable nor favorable,Neither unfavorable nor favorable,to reinforce why they hired the person they did in case Bonnie thought otherwise,Favorable,Somewhat unfavorable,Neither unfavorable nor favorable,Somewhat unfavorable,He felt a need to justify his decision ,Somewhat favorable,Favorable,Very favorable,Somewhat favorable,REinforce why they wont need the kitchen so that bianca feels secure that they can use it,Neither unfavorable nor favorable,Somewhat unfavorable,Neither unfavorable nor favorable,Neither unfavorable nor favorable,Sharing what they did and why with a friend - normal conversation,Neither unfavorable nor favorable,Neither unfavorable nor favorable,Neither unfavorable nor favorable,Somewhat unfavorable,"Potentially a nanny situation, wanted to make sure she noted the what/why etc to reinforce what they are doing",Favorable,Neither unfavorable nor favorable,Favorable,Somewhat unfavorable,Because it's somewhat unusual to throw all your bonus towards a charity versus yourself or something you want/need.,Somewhat favorable,Neither unfavorable nor favorable,Somewhat favorable,n/a,Done
2025-11-20 15:39:44,2025-11-20 15:54:21,IP Address,98.26.131.170,100,876,True,2025-11-20 15:54:21,R_3LUJlAJ11FtRX5N,,,,,36.1219,-79.7777,anonymous,EN,I accept,English,59d1e366faf42e00012b6c1c,Continue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Very favorable,Because Blair asked for the details,Very favorable,Somewhat favorable,Neither unfavorable nor favorable,Very favorable,She wanted share the details ,Favorable,Very favorable,Very favorable,Somewhat favorable,She wanted to let Bonnie know the reasoning of why this person was chosen,Very favorable,Somewhat favorable,Neither unfavorable nor favorable,Favorable,Too get Bill's approval,Very favorable,Neither unfavorable nor favorable,Somewhat favorable,Neither unfavorable nor favorable,He wanted give an explanation of why he will not be using the kitchen,Neither unfavorable nor favorable,Neither unfavorable nor favorable,Neither unfavorable nor favorable,Very favorable,She wanted to give the reasoning behind her decision,Very favorable,Neither unfavorable nor favorable,Somewhat favorable,Very favorable,She was filling Belinda in on Emily,Very favorable,Very favorable,Very favorable,Very favorable,Alice wanted to justify her decision and wanted Beth's approval,Neither unfavorable nor favorable,Neither unfavorable nor favorable,Favorable,I understood the task. I would guess it has something to do with Communication and interpretations ,Done
2025-11-20 15:38:16,2025-11-20 15:54:33,IP Address,143.59.132.100,100,976,True,2025-11-20 15:54:34,R_5o8gsJwL6sjZZiI,,,,,33.0273,-80.1768,anonymous,EN,I accept,English,65b3ed69eb1a6277cdc1ee3a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Favorable,"She was excited and her friend asked her which one she got, so she explained in detail thinking her friend really wanted to know.",Somewhat favorable,Neither unfavorable nor favorable,Neither unfavorable nor favorable,Very favorable,"She was very pleased and excited that her relationship had solidified and was enjoying telling her friend about it, as her friend sounded like she very much wanted to know details.",Favorable,Somewhat favorable,Neither unfavorable nor favorable,Somewhat unfavorable,Maybe she thought or knew that Bonnie was up for the same job.,Somewhat favorable,Unfavorable,Somewhat unfavorable,Favorable,Because he was excited to have a new place to live and one with amenities he was never able to have before.,Favorable,Favorable,Neither unfavorable nor favorable,Favorable,"I think Asher was actually relieved to not have to cook, and was very please that he found the take out food delicious and large portions meant being able to stretch his budget to cover 2 meals.",Favorable,Neither unfavorable nor favorable,Unfavorable,Somewhat favorable,The 2 of them are friends and share pretty sensitive information without hesitation.,Favorable,Neither unfavorable nor favorable,Neither unfavorable nor favorable,Somewhat unfavorable,It feels like Anna thought Beatrice wouldn't approve of her choice to help Emily.,Somewhat unfavorable,Somewhat unfavorable,Somewhat unfavorable,Somewhat unfavorable,She wanted to justify her decision,Somewhat favorable,Very favorable,Favorable,I believe I understodd the directions and expectations.  I'm not sure what the actual purpose was other than to test how people decide motivations in social  events without a lot of info,Done
2025-11-20 15:37:25,2025-11-20 15:54:44,IP Address,97.70.34.239,100,1039,True,2025-11-20 15:54:45,R_1Kr6sTgd2VSWqYS,,,,,42.3755,-83.2883,anonymous,EN,I accept,English,636d6ce3fb3683ff33f9e514,Continue,Somewhat favorable,Somewhat favorable,Somewhat unfavorable,He wants to show that it is a good decision to move. ,Somewhat unfavorable,Favorable,Favorable,Somewhat favorable,She is excited about her trip and wants to talk about it. ,Somewhat favorable,Neither unfavorable nor favorable,Neither unfavorable nor favorable,Neither unfavorable nor favorable,To justify his decision of getting a pet rat. ,Somewhat favorable,Somewhat favorable,Somewhat favorable,Favorable,To show that they made a good decision.,Favorable,Neither unfavorable nor favorable,Somewhat favorable,Somewhat unfavorable,To justify why he is staying home and not doing anything fun.  ,Neither unfavorable nor favorable,Somewhat favorable,Neither unfavorable nor favorable,Neither unfavorable nor favorable,She wants to talk about why she is visiting her aunt. ,Favorable,Neither unfavorable nor favorable,Favorable,Neither unfavorable nor favorable,He wanted to explain why Luke didn't clean the kitchen. ,Somewhat unfavorable,Neither unfavorable nor favorable,Favorable,Somewhat unfavorable,He has a lot on his mind and wants to talk to someone. ,Neither unfavorable nor favorable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,How to interpret meaning in text based communication?,Done
2025-11-20 15:43:05,2025-11-20 15:55:08,IP Address,67.83.161.144,100,722,True,2025-11-20 15:55:08,R_3sZONnWeSeNhDcl,,,,,40.9476,-73.8624,anonymous,EN,I accept,English,628d14b52b5bd1d83ed1f7d2,Continue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Favorable,Blair asked for details about the new laptop.,Very favorable,Somewhat unfavorable,Neither unfavorable nor favorable,Very favorable,Because Brittany asked for more details,Favorable,Neither unfavorable nor favorable,Somewhat favorable,Neither unfavorable nor favorable,To give the reasoning behind her decision,Favorable,Neither unfavorable nor favorable,Somewhat unfavorable,Favorable,Bill asked a follow up question about the apartment.,Very favorable,Favorable,Favorable,Neither unfavorable nor favorable,To explain why he ordered takeout,Somewhat favorable,Neither unfavorable nor favorable,Somewhat unfavorable,Favorable,To give explain further why her weekend was good,Favorable,Neither unfavorable nor favorable,Favorable,Neither unfavorable nor favorable,She wanted to give details about how Beatrice is doing ,Favorable,Somewhat unfavorable,Favorable,Favorable,To demonstrate that she supports good causes,Very favorable,Neither unfavorable nor favorable,Favorable,How people interpret mood from text messages,Done
2025-11-20 15:43:52,2025-11-20 15:55:39,IP Address,98.144.110.158,100,706,True,2025-11-20 15:55:39,R_6Ys8TNiUR0qiBI5,,,,,42.906,-88.1232,anonymous,EN,I accept,English,67ad400f3989d013fbbdc466,Continue,Favorable,Very favorable,Favorable,"I think he was trying to explain to a friend that they are excited about their move, and all their reasons why.",Favorable,Very favorable,Favorable,Favorable,"I think she was excited about everything she was planning to do on her trip, and knew that Brooke wanted to hear about it.",Favorable,Favorable,Favorable,Very favorable,I think he was trying to explain his reasoning for picking a rat rather than a more typical pet like a cat or dog. ,Somewhat favorable,Very favorable,Very favorable,Favorable,Maybe she is trying to justify her choice to herself or Bruce.,Favorable,Very favorable,Very favorable,Neither unfavorable nor favorable,I think he was trying to justify his decision to stay home rather than go out.,Neither unfavorable nor favorable,Somewhat favorable,Favorable,Favorable,I think she was just telling her friend about her plans she was happy about. She was just sharing fun news.,Favorable,Favorable,Favorable,Neither unfavorable nor favorable,I think he was trying to justify to Ben why he cleaned the kitchen instead of Luke.,Somewhat favorable,Favorable,Favorable,Unfavorable,I think he was trying to make it clear that he felt it was really important that he was in the library studying rather than in the apartment.,Somewhat unfavorable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I understood the task. It all made sense. I don’t have any other comments. ,Done
2025-11-20 15:42:30,2025-11-20 15:55:58,IP Address,86.166.164.1,100,808,True,2025-11-20 15:55:58,R_86lHtvsxzIXK1ut,,,,,51.5591,-0.2283,anonymous,EN,I accept,English,66ef36768bc403140fa01e35,Continue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Favorable,She used self-deprecating humour so Blair wouldn't judge her for holding onto her old laptop for so long before getting a new one.,Very favorable,Somewhat unfavorable,Favorable,Favorable,Brittany probably doesn't know Ben and she wanted to explain her why her choice was good as Abby cares about her.,Favorable,Neither unfavorable nor favorable,Neither unfavorable nor favorable,Somewhat favorable,She wanted approval for her choice,Favorable,Somewhat unfavorable,Neither unfavorable nor favorable,Favorable,"It read as fairly neutral because if he had just said the location, Bill would probably asked why that one and he was anticipating that. ",Favorable,Favorable,Favorable,Unfavorable,Asher did not want to be judged.,Neither unfavorable nor favorable,Somewhat unfavorable,Unfavorable,Somewhat favorable,She was justifying spending money on a new dress.,Favorable,Somewhat favorable,Somewhat favorable,Favorable,To show why she is struggling and how it's not a reflection of her character but just how it is.,Favorable,Unfavorable,Somewhat favorable,Somewhat favorable,She felt the need to justify her donation so Alice wouldn't think she was better than her,Somewhat favorable,Neither unfavorable nor favorable,Somewhat favorable,Interpreting tone and meaning through text,Done
2025-11-20 15:35:51,2025-11-20 15:57:24,IP Address,98.97.82.22,100,1292,True,2025-11-20 15:57:25,R_7VV47Md6DcBQeml,,,,,32.7797,-96.8022,anonymous,EN,I accept,English,5e6ec2818808e6486e268039,Continue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Somewhat unfavorable,I think she was both excited to talk about her new laptop and I think that she wanted Blair to think she made a good decision with the specific laptop she got.,Somewhat favorable,Somewhat unfavorable,Somewhat unfavorable,Very favorable,"I think Abby explained herself because she was excited to be able to talk to her friend about her new boyfriend. I think she was also matching the excited energy that her friend was displaying, and also just giving the friend what she wanted which was more information about the new boyfriend.",Very favorable,Somewhat unfavorable,Somewhat favorable,Somewhat unfavorable,I think Audrey explained herself because the Bonnie was curious about who she hired and because she maybe sensed that she was nervous about who was going to be there and if they were a good fit. I think Audrey was trying to reassure her and display the positive attitude she wants her employees to have when the new hire gets there.,Somewhat favorable,Unfavorable,Somewhat favorable,Favorable,I think he was just excited to talk about his new apartment. ,Favorable,Favorable,Favorable,Favorable,I think Asher just needed to vent to someone since the topic was semi related to their stress. They seem a bit stressed.,Very favorable,Neither unfavorable nor favorable,Neither unfavorable nor favorable,Unfavorable,I think she explained herself because she thought Bridget might judge her for buying a new dress. She wanted to justify the purchase by saying that she does save her money and that she finally did something for herself for once. This indicates to Bridget that she doesn't go spending money on new dresses very often.,Favorable,Favorable,Favorable,Unfavorable,I think she's trying to justify why she helped her daughter a lot with her homework and why her daughter is stressed out. She doesn't want her friend or family member to think that she's not helping out her daughter,Very favorable,Unfavorable,Somewhat unfavorable,Somewhat unfavorable,I think Alice explained herself because she might have anticipated that Beth was going to ask if she was doing anything special with her bonus. She wanted to justify the donation before Beth had a chance to say anything about what she should do with it.,Somewhat favorable,Favorable,Favorable,"I think this survey was about peoples assumptions based on texting. Since we can't see or hear people when texting, we may assume more negative intent. I think this study may have been testing that.",Done
